Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2025-04-14,202.02549743652344,386.4640197753906,212.42005238891582,393.28027643878613,200.66881763194172,382.8765082652718,210.9237150406947,391.8552468593249,101352900,19251200
2025-04-15,201.64642333984375,384.3912658691406,203.01307326666696,390.5298901348079,199.31214069618733,382.82670753665025,201.36710824854455,387.16161616456134,51343900,17199900
2025-04-16,193.79563903808594,370.32025146484375,200.2099310657198,380.2855448116978,191.9002692932641,366.72279516422714,197.8756484915953,379.34883521582236,59732400,21967800
2025-04-17,196.4990234375,366.5035400390625,198.34451232255947,373.02085009277744,193.9452767059697,365.61664478749583,196.71848747425943,372.45282110026085,52164700,21120200
2025-04-21,192.68833923339844,357.87359619140625,193.32677585155812,363.21500903617533,189.3465132845993,354.43558836453434,192.79807124065385,361.5607667541322,46742500,20807300
2025-04-22,199.25228881835938,365.5469055175781,201.097762433896,366.4935901583944,195.49148998245192,358.611039306251,195.64111763020085,362.1188421014038,52976400,19485000
2025-04-23,204.10043334960938,373.09063720703125,207.4921254657249,379.069813295219,202.30482537338813,371.7253664544321,205.49700887470834,374.75482418771264,52929200,20545500
2025-04-24,207.8612060546875,385.9557800292969,208.32008954356945,387.10181303671203,202.44447210591895,373.8878249819962,204.38970763388747,374.3960646492269,47311000,22232300
2025-04-25,208.76898193359375,390.4900207519531,209.2378355121778,390.79894240871675,205.69650080604464,383.2651831703409,205.86608387594285,385.65684745985266,38222300,18973200
2025-04-28,209.62689208984375,389.80242919921875,210.98357193193158,391.37693221129894,206.95344326011445,385.2981274275963,209.48723454234343,390.59964052478745,38743100,16579400
2025-04-29,210.69427490234375,392.67242431640625,211.72175863443914,393.7287429695286,207.86119803545407,389.02512333213684,208.18042396697467,389.9419132819562,36827600,14974000
2025-04-30,211.9811248779297,393.88818359375,213.0584895980106,395.2833185411371,206.16535854293033,383.10572919383554,208.78894157113288,388.94537633492024,52286500,36461100
2025-05-01,212.79913330078125,423.9235534667969,214.0360957896086,435.47332427713997,208.3899124386699,423.4252888222868,208.56948083895412,429.6137271918364,57365700,58938100
2025-05-02,204.8485870361328,433.769287109375,206.48458191182934,437.91485278651635,201.66637387157866,428.49763841940904,205.58677037884885,430.2415647531947,101010600,30757400
2025-05-05,198.40435791015625,434.65618896484375,203.60164304236298,437.97461808249534,197.72602561272546,430.6102521137275,202.6040848015313,431.367624097433,69018500,20136100
2025-05-06,198.0252685546875,431.8061218261719,200.16004244803628,436.2107948487266,196.53891661034845,429.6735648726689,197.72601327833053,430.6999888667604,51216500,15104200
2025-05-07,195.7707977294922,431.8459777832031,198.95301083885846,436.5994115910065,192.77812311451905,429.6137314736212,198.6836658614824,432.3342674079582,68536700,23295300
2025-05-08,197.00778198242188,436.6492614746094,199.56152863729463,442.1301726837614,194.20463054641704,434.147963172883,197.2372161152265,436.41007376009867,50478900,23491300
2025-05-09,198.0452423095703,437.2073059082031,200.0503289543839,439.21030909915044,197.05765414160055,434.3671913522403,198.51409591462888,438.4728871570268,36453900,15324200
2025-05-12,210.55104064941406,447.7007751464844,211.03050749278242,447.8103787748487,206.5156271207593,438.2536661790282,210.7308445260501,444.39229048229146,63775800,22821900
2025-05-13,212.68861389160156,447.5812072753906,213.1580823159532,449.1058959658508,208.76307628033234,443.8142971336702,210.19144790738707,446.22591154405814,51909300,23618800
2025-05-14,212.08929443359375,451.36798095703125,213.69746987061376,452.32464056421765,210.34127831689767,446.5846525094385,212.18917192393894,446.5846525094385,49325800,19902800
2025-05-15,211.21029663085938,452.3863220214844,212.71859464512332,455.44129747226026,209.30245815432872,449.6907411096269,210.71086343228015,450.0301794411029,45029500,21992300
2025-05-16,211.0205078125,453.5244445800781,212.32903558469047,453.6142932166669,209.53220664773164,447.99355872232604,212.11926693678467,451.30808680840903,54737900,23849800
2025-05-19,208.54331970214844,458.11688232421875,209.24252311349682,458.83570185482216,204.02843943795537,450.0601197660991,207.67431083672193,450.14000552921704,46140500,21336500
2025-05-20,206.62550354003906,457.4180603027344,208.2336790492342,457.58776423526933,204.79757620413463,453.57437286704067,207.4345828831543,454.8422775622727,42496600,15441800
2025-05-21,201.86090087890625,451.8272399902344,206.80528635778637,457.02868069868646,200.4824756537251,451.06847756848606,204.93741112479617,453.8239575485261,59211800,19216900
2025-05-22,201.13172912597656,454.11346435546875,202.52015274475195,459.49463285512667,199.4736073247078,453.1550484484722,200.48247209416806,454.2033434579146,46742400,18025600
2025-05-23,195.04864501953125,449.441162109375,197.4758830409797,452.94541128469075,193.24069928507132,448.17325738802526,193.45045269257122,449.24150862772166,78432900,16883500
2025-05-27,199.98304748535156,459.93389892578125,200.51244545494848,460.19348195260824,197.20618488735448,455.3713920868909,198.07520901450675,455.7308170830738,56288500,20974300
2025-05-28,200.1927947998047,456.609375,202.50017366149785,461.7609101640183,199.67338002302156,456.1800880198718,200.36260025266836,460.4630558858422,45339700,17086300
2025-05-29,199.72332763671875,457.9272155761719,203.57895243464628,460.9622349154345,198.28495762525483,454.56275123248776,203.3492174371598,460.79250051058557,51396800,13974800
2025-05-30,200.622314453125,459.60443115234375,201.73105672211125,460.9222720478794,196.55692105301176,454.79236501090486,199.14398126681596,458.96549737927586,70819900,34770500
2025-06-02,201.47134399414062,461.2118225097656,201.9008644592711,461.35157690062545,199.89313329888972,456.1401731404802,200.05295557621693,456.3897628439735,35423300,16626500
2025-06-03,203.03956604003906,462.2101745605469,203.5389992121068,463.3782677615003,200.7321872237246,460.1036216507913,201.1217444882778,460.7126363614999,46381600,15743800
2025-06-04,202.590087890625,463.1086730957031,206.00620910456834,464.9256933509807,201.8709028727957,462.2600620562611,202.67998220748078,463.2384646092932,43604000,14162700
2025-06-05,200.40257263183594,466.91241455078125,204.5178973620389,468.8791825139859,199.92310578136215,463.26841119380083,203.26931435006063,464.1968775224098,55126100,20131700
2025-06-06,203.68882751464844,469.6080017089844,205.4668084267123,472.56313512848675,201.82095228760733,468.0106215882427,202.76987228695742,469.31846913564885,46607700,15285600
2025-06-09,201.2216339111328,471.97412109375,205.76647909477697,472.6529977632414,199.79326227022588,467.8508943889836,204.15830357568726,468.92913895110996,72862600,16469900
2025-06-10,202.44024658203125,470.1471252441406,204.11835001917973,472.02401413852874,200.34263633745982,466.19360257943936,200.3726011094186,470.4166711436691,54672600,15375900
2025-06-11,198.55465698242188,471.8443298339844,204.26817387189894,474.68965849935887,198.18508130061548,468.88919632531986,203.26930749599725,469.24859086789724,60989900,16399200
2025-06-12,198.97418212890625,478.0840759277344,199.45363372918547,479.6315503555016,197.13627162659284,472.7428502291372,198.85432303920933,474.2403884361742,43904600,18950600
2025-06-13,196.227294921875,474.18048095703125,200.1428492549886,478.3935562569989,195.47814514596445,471.98410990605987,199.50357538920457,475.62811338522215,51447300,16814500
2025-06-16,198.195068359375,478.3536376953125,198.46476655376847,479.90108160832807,196.33717625414866,474.2204177457221,197.07634287373045,474.4300645574067,43020700,15626100
2025-06-17,195.418212890625,477.25543212890625,198.16509536417735,477.9542649832925,194.98870767431248,473.30190948641297,196.97644196425614,474.6197503672441,38856200,15414100
2025-06-18,196.35714721679688,479.4518127441406,197.3460303816964,480.2105751696819,194.84886452825484,473.68130019053103,195.71787336797544,477.21549881727225,45394700,17526500
2025-06-20,200.7721405029297,476.6164855957031,201.47134391409438,482.666537493529,196.6368343380514,476.0873566497709,198.01527480684123,481.4385756672578,96813500,37576200
2025-06-23,201.27157592773438,485.2023620605469,202.07067208145295,486.94948990747275,198.73446202428119,471.7345120072702,201.40143343464243,477.425138713905,55814300,24864000
2025-06-24,200.07293701171875,489.30560302734375,203.2093768046809,491.0427680081874,199.9730442780961,486.0010379300524,202.36033429336192,488.1475336634371,54064000,22305600
2025-06-25,201.33151245117188,491.4620666503906,203.43912119943792,493.7483167920849,200.39257558111612,488.58681895090325,201.2216365357081,491.2324636297239,39525700,17495100
2025-06-26,200.7721405029297,496.6335754394531,202.41028074115465,497.2226034494893,199.23389299836737,492.0011761864687,201.20164572639828,492.1709105807123,50799100,21578900
2025-06-27,200.85205078125,495.1260681152344,202.98962419564972,498.4805390751374,199.77327327657756,492.22084033701867,201.66113009938155,496.73341116664807,73188600,34539200
2025-06-30,204.93740844726562,496.5936584472656,207.15489297707504,499.9381665482639,199.0341046248948,494.51705506439515,201.78098710410558,496.22427056302723,91912800,28369000
2025-07-01,207.58441162109375,491.242431640625,209.95171998702364,497.2325843953567,205.90630823197938,490.1742108879921,206.4357061767528,495.655190908974,78788900,19945400
2025-07-02,212.1991729736328,490.2840270996094,213.09814660534315,492.69007550131784,207.9040445567577,487.8979653734086,208.6731759252599,489.1858263089447,67941800,16319600
2025-07-03,213.30792236328125,498.02130126953125,214.40666625629999,499.3091926553608,211.56988934364432,492.6301698307581,211.90950026104147,492.99955771280014,34955800,13984800
2025-07-07,209.7119903564453,496.90313720703125,215.9848699115094,497.9314455400232,208.56330013289198,494.41723357438383,212.43889126622693,496.56369887519327,50229000,13981600
2025-07-08,209.7719268798828,495.804931640625,211.1903153368944,497.3823555722493,208.213697736729,493.2990413573122,209.86183643928914,496.42390920841734,42848900,11846600
2025-07-09,210.90065002441406,502.68365478515625,211.09043707809712,505.94827712953634,206.98509558510867,498.919822567675,209.2924745188519,499.47890106455674,48749400,18659500
2025-07-10,212.16920471191406,500.656982421875,213.23798377907798,503.6121159415126,209.7918979255535,496.93309312638246,210.27134950514616,502.22438258392543,44443600,16492100
2025-07-11,210.92062377929688,502.49395751953125,211.88952536572023,504.20114253320645,209.6220944658076,496.9829974553982,210.33129628612954,497.6519112557523,39765800,16459500
2025-07-14,208.3834991455078,502.1944274902344,210.67091168904602,503.14288052756655,207.3047216270235,500.20770324807717,209.69201166358403,500.6968893054946,38840100,12058800
2025-07-15,208.87295532226562,504.9898376464844,211.64980271899068,507.465747883617,208.6831682659836,501.9648118083004,208.9828312368767,502.19441482497484,42296300,14927200
2025-07-16,209.92176818847656,504.7901611328125,212.1592191902425,505.88836188358,208.40348697906978,501.06630238508603,210.06160887608695,504.35088083250554,47490500,15154400
2025-07-17,209.78192138671875,510.8601989746094,211.5599023237274,512.5274410723513,209.35240091776063,504.7901605415637,210.33130094399476,504.85005963085433,48068100,17503100
2025-07-18,210.9405975341797,509.212890625,211.54990664350106,513.7953843002441,209.46227954032304,506.59719545986655,210.63095139102305,513.6356127696338,48974600,21209700
